EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CZECH REPUBLIC, PRAHA-KLEMENTINUM (STAID: 27).
Blended and updated with sources: 100082 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100082,18040101,-9999,    9
100082,18040102,-9999,    9
100082,18040103,-9999,    9
100082,18040104,-9999,    9
100082,18040105,-9999,    9
100082,18040106,-9999,    9
100082,18040107,-9999,    9
100082,18040108,-9999,    9
100082,18040109,-9999,    9
100082,18040110,-9999,    9
100082,18040111,-9999,    9
100082,18040112,-9999,    9
100082,18040113,-9999,    9
100082,18040114,-9999,    9
100082,18040115,-9999,    9
100082,18040116,-9999,    9
100082,18040117,-9999,    9
100082,18040118,-9999,    9
100082,18040119,-9999,    9
100082,18040120,-9999,    9
100082,18040121,-9999,    9
100082,18040122,-9999,    9
100082,18040123,-9999,    9
100082,18040124,-9999,    9
100082,18040125,-9999,    9
100082,18040126,-9999,    9
100082,18040127,-9999,    9
100082,18040128,-9999,    9
100082,18040129,-9999,    9
100082,18040130,-9999,    9
100082,18040131,-9999,    9
100082,18040201,-9999,    9
100082,18040202,-9999,    9
100082,18040203,-9999,    9
100082,18040204,-9999,    9
100082,18040205,-9999,    9
100082,18040206,-9999,    9
100082,18040207,-9999,    9
100082,18040208,-9999,    9
100082,18040209,-9999,    9
100082,18040210,-9999,    9
100082,18040211,-9999,    9
100082,18040212,-9999,    9
100082,18040213,-9999,    9
100082,18040214,-9999,    9
100082,18040215,-9999,    9
100082,18040216,-9999,    9
100082,18040217,-9999,    9
100082,18040218,-9999,    9
100082,18040219,-9999,    9
100082,18040220,-9999,    9
100082,18040221,-9999,    9
100082,18040222,-9999,    9
100082,18040223,-9999,    9
100082,18040224,-9999,    9
100082,18040225,-9999,    9
100082,18040226,-9999,    9
100082,18040227,-9999,    9
100082,18040228,-9999,    9
100082,18040229,-9999,    9
100082,18040301,-9999,    9
100082,18040302,-9999,    9
100082,18040303,-9999,    9
100082,18040304,-9999,    9
100082,18040305,-9999,    9
100082,18040306,-9999,    9
100082,18040307,-9999,    9
100082,18040308,-9999,    9
100082,18040309,-9999,    9
100082,18040310,-9999,    9
100082,18040311,-9999,    9
100082,18040312,-9999,    9
100082,18040313,-9999,    9
100082,18040314,-9999,    9
100082,18040315,-9999,    9
100082,18040316,-9999,    9
100082,18040317,-9999,    9
100082,18040318,-9999,    9
100082,18040319,-9999,    9
100082,18040320,-9999,    9
100082,18040321,-9999,    9
100082,18040322,-9999,    9
100082,18040323,-9999,    9
100082,18040324,-9999,    9
100082,18040325,-9999,    9
100082,18040326,-9999,    9
100082,18040327,-9999,    9
100082,18040328,-9999,    9
100082,18040329,-9999,    9
100082,18040330,-9999,    9
100082,18040331,-9999,    9
100082,18040401,-9999,    9
100082,18040402,-9999,    9
100082,18040403,-9999,    9
100082,18040404,-9999,    9
100082,18040405,-9999,    9
100082,18040406,-9999,    9
100082,18040407,-9999,    9
100082,18040408,-9999,    9
100082,18040409,-9999,    9
100082,18040410,-9999,    9
100082,18040411,-9999,    9
100082,18040412,-9999,    9
100082,18040413,-9999,    9
100082,18040414,-9999,    9
100082,18040415,-9999,    9
100082,18040416,-9999,    9
100082,18040417,-9999,    9
100082,18040418,-9999,    9
100082,18040419,-9999,    9
100082,18040420,-9999,    9
100082,18040421,-9999,    9
100082,18040422,-9999,    9
100082,18040423,-9999,    9
100082,18040424,-9999,    9
100082,18040425,-9999,    9
100082,18040426,-9999,    9
100082,18040427,-9999,    9
100082,18040428,-9999,    9
100082,18040429,-9999,    9
100082,18040430,-9999,    9
100082,18040501,    3,    0
100082,18040502,   26,    0
100082,18040503,    0,    0
100082,18040504,    0,    0
100082,18040505,    0,    0
100082,18040506,    0,    0
100082,18040507,    8,    0
100082,18040508,    0,    0
100082,18040509,    0,    0
100082,18040510,    5,    0
100082,18040511,   58,    0
100082,18040512,    5,    0
100082,18040513,    3,    0
100082,18040514,    3,    0
100082,18040515,    0,    0
100082,18040516,    0,    0
100082,18040517,    0,    0
100082,18040518,    0,    0
100082,18040519,   26,    0
100082,18040520,    0,    0
100082,18040521,    8,    0
100082,18040522,    0,    0
100082,18040523,    0,    0
100082,18040524,    0,    0
100082,18040525,  207,    0
100082,18040526,    0,    0
100082,18040527,    8,    0
100082,18040528,    0,    0
100082,18040529,   88,    0
100082,18040530,    0,    0
100082,18040531,    0,    0
100082,18040601,    0,    0
100082,18040602,    0,    0
100082,18040603,    0,    0
100082,18040604,    0,    0
100082,18040605,    0,    0
100082,18040606,  101,    0
100082,18040607,    0,    0
100082,18040608,  191,    0
100082,18040609,   13,    0
100082,18040610,    0,    0
100082,18040611,   13,    0
100082,18040612,  244,    0
100082,18040613,  178,    0
100082,18040614,  197,    0
100082,18040615,    5,    0
100082,18040616,   11,    0
100082,18040617,    0,    0
100082,18040618,    0,    0
100082,18040619,    0,    0
100082,18040620,    0,    0
100082,18040621,    0,    0
100082,18040622,    8,    0
100082,18040623,    0,    0
100082,18040624,    0,    0
100082,18040625,    0,    0
100082,18040626,    0,    0
100082,18040627,    0,    0
100082,18040628,   16,    0
100082,18040629,   29,    0
100082,18040630,    0,    0
100082,18040701,    5,    0
100082,18040702,    0,    0
100082,18040703,  202,    0
100082,18040704,   93,    0
100082,18040705,    0,    0
100082,18040706,   80,    0
100082,18040707,    3,    0
100082,18040708,    5,    0
100082,18040709,    0,    0
100082,18040710,    3,    0
100082,18040711,   50,    0
100082,18040712,   47,    0
100082,18040713,    0,    0
100082,18040714,   42,    0
100082,18040715,    0,    0
100082,18040716,    0,    0
100082,18040717,    0,    0
100082,18040718,    0,    0
100082,18040719,    0,    0
100082,18040720,    0,    0
100082,18040721,   29,    0
100082,18040722,    5,    0
100082,18040723,    0,    0
100082,18040724,   85,    0
100082,18040725,    5,    0
100082,18040726,   13,    0
100082,18040727,    0,    0
100082,18040728,    0,    0
100082,18040729,    0,    0
100082,18040730,    0,    0
100082,18040731,    0,    0
100082,18040801,    0,    0
100082,18040802,    0,    0
100082,18040803,    0,    0
100082,18040804,    0,    0
100082,18040805,   58,    0
100082,18040806,    0,    0
100082,18040807,    0,    0
100082,18040808,    5,    0
100082,18040809,   11,    0
100082,18040810,    0,    0
100082,18040811,  136,    0
100082,18040812,   13,    0
100082,18040813,    0,    0
100082,18040814,   11,    0
100082,18040815,    0,    0
100082,18040816,    3,    0
100082,18040817,   26,    0
100082,18040818,   13,    0
100082,18040819,    0,    0
100082,18040820,    0,    0
100082,18040821,    0,    0
100082,18040822,   13,    0
100082,18040823,   13,    0
100082,18040824,   19,    0
100082,18040825,    0,    0
100082,18040826,    0,    0
100082,18040827,    0,    0
100082,18040828,    0,    0
100082,18040829,    0,    0
100082,18040830,    0,    0
100082,18040831,    0,    0
100082,18040901,    0,    0
100082,18040902,    8,    0
100082,18040903,    0,    0
100082,18040904,    0,    0
100082,18040905,    0,    0
100082,18040906,    0,    0
100082,18040907,    0,    0
100082,18040908,    0,    0
100082,18040909,   31,    0
100082,18040910,   11,    0
100082,18040911,    0,    0
100082,18040912,    0,    0
100082,18040913,    0,    0
100082,18040914,    0,    0
100082,18040915,    0,    0
100082,18040916,    0,    0
100082,18040917,    0,    0
100082,18040918,    0,    0
100082,18040919,    0,    0
100082,18040920,    0,    0
100082,18040921,    0,    0
100082,18040922,   11,    0
100082,18040923,    0,    0
100082,18040924,   13,    0
100082,18040925,    0,    0
100082,18040926,    5,    0
100082,18040927,   99,    0
100082,18040928,    0,    0
100082,18040929,    0,    0
100082,18040930,    0,    0
100082,18041001,    0,    0
100082,18041002,    0,    0
100082,18041003,    0,    0
100082,18041004,    0,    0
100082,18041005,    0,    0
100082,18041006,    0,    0
100082,18041007,   13,    0
100082,18041008,    0,    0
100082,18041009,   26,    0
100082,18041010,    3,    0
100082,18041011,    0,    0
100082,18041012,    5,    0
100082,18041013,    8,    0
100082,18041014,    5,    0
100082,18041015,    0,    0
100082,18041016,  178,    0
100082,18041017,   69,    0
100082,18041018,    0,    0
100082,18041019,   13,    0
100082,18041020,    0,    0
100082,18041021,    0,    0
100082,18041022,    0,    0
100082,18041023,    0,    0
100082,18041024,    0,    0
100082,18041025,    8,    0
100082,18041026,    3,    0
100082,18041027,    0,    0
100082,18041028,    0,    0
100082,18041029,    0,    0
100082,18041030,   26,    0
100082,18041031,   13,    0
100082,18041101,   91,    0
100082,18041102,   91,    0
100082,18041103,    0,    0
100082,18041104,    0,    0
100082,18041105,    0,    0
100082,18041106,    0,    0
100082,18041107,    0,    0
100082,18041108,    0,    0
100082,18041109,    0,    0
100082,18041110,   58,    0
100082,18041111,   72,    0
100082,18041112,    0,    0
100082,18041113,   11,    0
100082,18041114,  225,    0
100082,18041115,   53,    0
100082,18041116,    0,    0
100082,18041117,    0,    0
100082,18041118,    0,    0
100082,18041119,    0,    0
100082,18041120,    0,    0
100082,18041121,   69,    0
100082,18041122,   19,    0
100082,18041123,    5,    0
100082,18041124,   37,    0
100082,18041125,    0,    0
100082,18041126,    0,    0
100082,18041127,    0,    0
100082,18041128,   26,    0
100082,18041129,    5,    0
100082,18041130,    0,    0
100082,18041201,    0,    0
100082,18041202,   39,    0
100082,18041203,    0,    0
100082,18041204,    0,    0
100082,18041205,   21,    0
100082,18041206,    5,    0
100082,18041207,    0,    0
100082,18041208,    0,    0
100082,18041209,    5,    0
100082,18041210,   80,    0
100082,18041211,    0,    0
100082,18041212,    3,    0
100082,18041213,    0,    0
100082,18041214,    5,    0
100082,18041215,    3,    0
100082,18041216,   11,    0
100082,18041217,   13,    0
100082,18041218,   13,    0
100082,18041219,    0,    0
100082,18041220,    0,    0
100082,18041221,    0,    0
100082,18041222,    0,    0
100082,18041223,    0,    0
100082,18041224,    0,    0
100082,18041225,    0,    0
100082,18041226,    0,    0
100082,18041227,    5,    0
100082,18041228,   11,    0
100082,18041229,   13,    0
100082,18041230,   11,    0
100082,18041231,    0,    0
100082,18050101,    5,    0
100082,18050102,    0,    0
100082,18050103,    0,    0
100082,18050104,    0,    0
100082,18050105,    3,    0
100082,18050106,    0,    0
100082,18050107,    0,    0
100082,18050108,    0,    0
100082,18050109,    0,    0
100082,18050110,    0,    0
100082,18050111,    0,    0
100082,18050112,    0,    0
100082,18050113,    0,    0
100082,18050114,    0,    0
100082,18050115,   11,    0
100082,18050116,    5,    0
100082,18050117,    0,    0
100082,18050118,    0,    0
100082,18050119,    0,    0
100082,18050120,    0,    0
100082,18050121,    0,    0
100082,18050122,   61,    0
100082,18050123,    0,    0
100082,18050124,    0,    0
100082,18050125,   53,    0
100082,18050126,   19,    0
100082,18050127,    0,    0
100082,18050128,    0,    0
100082,18050129,    0,    0
100082,18050130,   83,    0
100082,18050131,  149,    0
100082,18050201,    0,    0
100082,18050202,    0,    0
100082,18050203,   16,    0
100082,18050204,    3,    0
100082,18050205,    3,    0
100082,18050206,   16,    0
100082,18050207,    0,    0
100082,18050208,    0,    0
100082,18050209,    5,    0
100082,18050210,   13,    0
100082,18050211,    0,    0
100082,18050212,  106,    0
100082,18050213,   34,    0
100082,18050214,    8,    0
100082,18050215,   11,    0
100082,18050216,    0,    0
100082,18050217,    0,    0
100082,18050218,    0,    0
100082,18050219,    0,    0
100082,18050220,    0,    0
100082,18050221,    0,    0
100082,18050222,   19,    0
100082,18050223,    0,    0
100082,18050224,    0,    0
100082,18050225,   11,    0
100082,18050226,    0,    0
100082,18050227,   34,    0
